Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2013-08-29,0.335404,0.357143,0.307453,1.0,0.392386125,0.027951000000000004,0.38024456793632855,0.4808905717049035,0.2795985641677536,1669.51,1627.47,1634.96
2013-09-05,0.3553,0.3322,0.3125,1.0,0.375628375,0.042800000000000005,0.38024456793632855,0.4808905717049035,0.2795985641677536,1655.72,1628.05,1653.08
2013-09-12,0.45515,0.299003,0.245847,1.0,0.37285312500000006,0.209303,0.38024456793632855,0.4808905717049035,0.2795985641677536,1689.13,1633.41,1689.13
2013-09-19,0.451128,0.25188,0.296992,1.0,0.372846875,0.154136,0.38024456793632855,0.4808905717049035,0.2795985641677536,1729.44,1674.32,1725.52
2013-09-26,0.360544,0.333333,0.306122,0.999999,0.37339437499999995,0.05442199999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,1729.86,1691.7,1692.77
2013-10-03,0.378378,0.320946,0.300676,1.0,0.37131862499999996,0.077702,0.38024456793632855,0.4808905717049035,0.2795985641677536,1725.23,1674.99,1693.87
2013-10-10,0.413284,0.250923,0.335793,1.0,0.379845375,0.07749099999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,1696.55,1646.47,1656.4
2013-10-17,0.462783,0.288026,0.249191,1.0,0.40149637499999996,0.213592,0.38024456793632855,0.4808905717049035,0.2795985641677536,1721.76,1646.47,1721.54
2013-10-24,0.492013,0.332268,0.175719,1.0,0.4210725,0.31629399999999996,0.38024456793632855,0.4808905717049035,0.2795985641677536,1759.33,1695.93,1746.38
2013-10-31,0.449664,0.33557,0.214765,0.999999,0.432868,0.234899,0.38024456793632855,0.4808905717049035,0.2795985641677536,1775.22,1740.5,1763.31
2013-11-07,0.454829,0.327103,0.218069,1.000001,0.432827875,0.23675999999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,1775.22,1752.7,1770.49
2013-11-14,0.391975,0.333333,0.274691,0.9999990000000001,0.42543375,0.117284,0.38024456793632855,0.4808905717049035,0.2795985641677536,1782.0,1746.2,1782.0
2013-11-21,0.343931,0.361272,0.294798,1.0000010000000001,0.423357125,0.04913299999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,1802.33,1760.64,1781.37
2013-11-28,0.473016,0.244444,0.28254,1.0,0.435186875,0.19047599999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,1808.42,1777.23,1807.23
2013-12-05,0.426415,0.298113,0.275472,1.0,0.43682825,0.150943,0.38024456793632855,0.4808905717049035,0.2795985641677536,1813.55,1779.09,1792.81
2013-12-12,0.412651,0.337349,0.25,1.0,0.43056174999999997,0.162651,0.38024456793632855,0.4808905717049035,0.2795985641677536,1811.52,1779.09,1782.22
2013-12-19,0.474576,0.274576,0.250847,0.9999990000000001,0.42838212499999995,0.223729,0.38024456793632855,0.4808905717049035,0.2795985641677536,1811.08,1767.99,1810.65
