Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BAC,"Bank of America Corp",23.7,0.16,+0.68%,23.84,23.24,66499910,10/30/20
BAX,"Baxter International Inc",77.57,-0.51000000000001,-0.65%,78.12,76.03,2644160,10/30/20
BBY,"Best Buy Company",111.55,-0.73,-0.65%,112.65,109.6,1897109,10/30/20
BDX,"Becton Dickinson and Company",231.13,-1.34,-0.58%,233.96,227.82,1413146,10/30/20
BEN,"Franklin Resources",18.75,0.11,+0.59%,18.81,18.27,6194148,10/30/20
BF.B,"Brown Forman Inc Cl B",69.71,0.089999999999989,+0.13%,70.43,68.9,1199782,10/30/20
BIIB,"Biogen Inc",252.07,6.59,+2.68%,252.21,243.73,1413700,10/30/20
BIO,"Bio-Rad Laboratories",586.42,18.39,+3.24%,598.06,567.54,234986,10/30/20
BK,"Bank of New York Mellon Corp",34.36,0.039999999999999,+0.12%,34.38,33.64,5521476,10/30/20
BKNG,"Booking Holdings Inc",1622.5,-7.76,-0.48%,1634.96,1591.1,411500,10/30/20
BKR,"Baker Hughes A Ge CO Cl A",14.77,0.42,+2.93%,14.79,14.18,10456373,10/30/20
BLK,Blackrock,599.21,-3.12,-0.52%,600.87,587.9,530463,10/30/20
BLL,"Ball Corp",89,-0.22,-0.25%,89.94,87.98,1188502,10/30/20
BMY,"Bristol-Myers Squibb Company",58.45,0.53,+0.92%,58.48,57.59,11156016,10/30/20
BR,"Broadridge Financial Solutions Llc",137.6,-0.52000000000001,-0.38%,141.93,136.13,1020246,10/30/20
BRK.B,"Berkshire Hathaway Cl B",201.9,0.39000000000001,+0.19%,202.27,198.7,5755622,10/30/20
BSX,"Boston Scientific Corp",34.27,0.77,+2.30%,34.66,33.31,20324844,10/30/20
BWA,"Borgwarner Inc",34.98,-0.46,-1.30%,35.71,34.3,2994826,10/30/20
BXP,"Boston Properties",72.41,0.77,+1.07%,72.55,71.01,1073920,10/30/20
C,"Citigroup Inc",41.42,-0.23999999999999,-0.58%,41.54,40.49,26971113,10/30/20
CAG,"Conagra Brands Inc",35.09,-0.41,-1.15%,35.35,34.72,2715453,10/30/20
CAH,"Cardinal Health",45.79,0.18,+0.39%,46.26,45.15,4173801,10/30/20
CARR,"Carrier Global Corp [Carr/I]",33.39,-0.68,-2.00%,34.88,33,6741249,10/30/20
CAT,"Caterpillar Inc",157.05,2.38,+1.54%,157.29,153.04,4375326,10/30/20
CB,"Chubb Ltd",129.91,-2.84,-2.14%,133.5,128.52,3557216,10/30/20
CBOE,"CBOE Global Markets Inc",81.29,2.07,+2.61%,83.17,79.81,1162240,10/30/20
CBRE,"CBRE Group Inc",50.4,-0.9,-1.75%,51.06,48.73,2239150,10/30/20
CCI,"Crown Castle International Corp",156.2,-1.51,-0.96%,157.59,154.08,1255995,10/30/20
CCL,"Carnival Corp",13.71,0.73,+5.62%,14.48,12.62,76635508,10/30/20
CDNS,"Cadence Design Sys",109.37,-0.84,-0.76%,110.74,108.13,2316600,10/30/20
CDW,"CDW Corp",122.6,1.65,+1.36%,123.2,118.61,1147000,10/30/20
CE,"Celanese Corp",113.51,-0.28,-0.25%,113.88,111.37,752864,10/30/20
CERN,"Cerner Corp",70.09,-0.39,-0.55%,70.78,69.05,1474600,10/30/20
CF,"Cf Industries Holdings",27.61,0.83,+3.10%,27.63,26.42,3016836,10/30/20
CFG,"Citizens Financial Group Inc/Ri",27.25,0.54,+2.02%,27.26,26.31,3404180,10/30/20
CHD,"Church & Dwight Company",88.39,1.33,+1.53%,88.96,86.62,1961490,10/30/20
CHRW,"C.H. Robinson Ww",88.43,-1.65,-1.83%,90,86.8,2411400,10/30/20
CHTR,"Charter Communicatio",603.82,27.82,+4.83%,610.66,580.55,2456300,10/30/20
CI,"Cigna Corp",166.97,3.57,+2.18%,167.51,163.22,2014482,10/30/20
CINF,"Cincinnati Financial",70.74,-0.91,-1.27%,72.26,69.92,1306600,10/30/20
CL,"Colgate-Palmolive Company",78.89,2.22,+2.90%,81.09,77.68,7363530,10/30/20
CLX,"Clorox Company",207.25,-1.48,-0.71%,211.54,204.88,2252024,10/30/20
CMA,"Comerica Inc",45.51,1.56,+3.55%,45.56,43.56,1830835,10/30/20
CMCSA,"Comcast Corp A",42.24,-0.82,-1.90%,43.05,41.75,22002000,10/30/20
CME,"CME Group Inc",150.72,0.73,+0.49%,150.87,147.8,1947800,10/30/20
CMG,"Chipotle Mexican Grill",1201.48,-41.32,-3.32%,1245.17,1191.31,491428,10/30/20
CMI,"Cummins Inc",219.89,2.45,+1.13%,219.98,214.32,1092360,10/30/20
CMS,"Cms Energy Corp",63.33,-0.17,-0.27%,63.93,62.62,1917709,10/30/20
CNC,"Centene Corp",59.1,0.77,+1.32%,59.58,58.19,4364751,10/30/20
CNP,"Centerpoint Energy Inc",21.13,-0.35,-1.63%,21.55,21,4946642,10/30/20
COF,"Capital One Financial Corp",73.08,-0.040000000000006,-0.05%,73.2,71.27,2102045,10/30/20
COG,"Cabot Oil & Gas Corp",17.79,-0.6,-3.26%,18.39,17.21,7502970,10/30/20
COO,"Cooper Companies",319.05,-5.09,-1.57%,327.36,314.29,353022,10/30/20
COP,Conocophillips,28.62,-0.54,-1.85%,28.97,27.63,15686565,10/30/20
COST,"Costco Wholesale",357.62,-7.24,-1.98%,363.85,355.79,2724900,10/30/20
CPB,"Campbell Soup Company",46.67,-0.1,-0.21%,47.21,46.35,1458357,10/30/20
CPRT,"Copart Inc",110.36,-0.92,-0.83%,111.3,109.24,1498300,10/30/20
CRM,"Salesforce.com Inc",232.27,-4.87,-2.05%,237.75,228.66,5743182,10/30/20
